Feature,rank_mi,rank_RFE,rank_embed,value_min,value_med,value_mean,value_harmo
M64445,65,1774,1433,65,1433.0,1090.6666666666667,180.22185365577002
H21532,66,1228,1553,66,1228.0,949.0,180.6166715296346
X85786,67,603,164,67,164.0,278.0,132.2674988854213
T47377,68,828,11,11,68.0,302.3333333333333,28.08391777509069
T51499,69,632,1851,69,632.0,850.6666666666666,180.556685672616
R97912,70,1734,306,70,306.0,703.3333333333334,165.46803998788246
R27369,71,941,620,71,620.0,544.0,178.99644364934295
T51560,72,1943,1353,72,1353.0,1122.6666666666667,198.1158492228885
D31885,73,290,1209,73,290.0,524.0,166.9074226638292
T51571,74,670,1770,74,670.0,838.0,192.66557381847986
T62947,75,853,43,43,75.0,323.6666666666667,79.44603817903523
L41559,76,595,191,76,191.0,287.3333333333333,149.44578702395305
X17025,77,452,919,77,452.0,482.6666666666667,184.1898590089355
M34175_,78,1727,470,78,470.0,758.3333333333334,193.20919662765905
T57686,79,1819,1478,79,1478.0,1125.3333333333333,216.06718131399532
U02493,80,808,1952,80,808.0,946.6666666666666,210.5275147718374
T57619,81,1958,1368,81,1368.0,1135.6666666666667,220.7928194168829
R44418,82,348,1244,82,348.0,558.0,189.0056224443435
R48303,83,701,242,83,242.0,342.0,170.38718733739123
R08829,84,370,887,84,370.0,447.0,190.65946175232492
R84411,85,1695,454,85,454.0,744.6666666666666,206.0818949899968
L37792,86,163,804,86,163.0,351.0,157.83943159644093
H77597,87,714,252,87,252.0,351.0,177.90357995226728
X04828,88,748,1794,88,748.0,876.6666666666666,226.27935472991962
R08021,89,63,782,63,89.0,311.3333333333333,105.67941126848824
M27190,90,973,604,90,604.0,555.6666666666666,217.47814621817872
R54097,91,590,14,14,91.0,231.66666666666666,35.66651904340124
U10886,92,1169,726,92,726.0,662.3333333333334,228.96555148704738
T71025,93,1935,1283,93,1283.0,1103.6666666666667,248.98523444046273
H91274,94,1426,1641,94,1426.0,1053.6666666666667,251.0681975555897
L10284,95,364,1236,95,364.0,565.0,213.0283899093543
H30734,96,895,1939,96,895.0,976.6666666666666,248.96854696137274
R36977,97,1541,1,1,97.0,546.3333333333334,2.9674817192204612
X07948,98,661,160,98,160.0,306.3333333333333,166.973332330924
Z14244,99,1294,1706,99,1294.0,1033.0,261.7806963607239
H08156,100,1448,1658,100,1448.0,1068.6666666666667,265.63378702537153
D63874,101,1811,1408,101,1408.0,1106.6666666666667,268.73536794866936
U25138,102,1135,709,102,709.0,648.6666666666666,248.02784641061723
T55840,103,1743,292,103,292.0,712.6666666666666,218.8643747712442
T56244,104,236,956,104,236.0,432.0,201.35987917067143
T57872,105,1821,1480,105,1480.0,1135.3333333333333,279.10523279037767
R42244,106,1404,1652,106,1404.0,1054.0,279.0297986187193
T98835,107,789,223,107,223.0,373.0,198.70804732770176
T59878,108,397,1157,108,397.0,554.0,237.2956800566362
X89416,109,1471,431,109,431.0,670.3333333333334,246.42059314005746
H17897,110,680,1765,110,680.0,851.6666666666666,269.5885375897628
H40560,111,440,1134,111,440.0,561.6666666666666,246.6381068588071
T84049,112,645,154,112,154.0,303.6666666666667,176.7568769926596
R43936,113,487,831,113,487.0,477.0,247.8045539357442
M84739,114,84,1125,84,114.0,441.0,139.11056016115285
T65792,115,1609,444,115,444.0,722.6666666666666,259.30452787033227
D14663,116,74,780,74,116.0,323.3333333333333,128.11613429941832
