Feature,rank_mi,rank_RFE,rank_embed,value_min,value_med,value_mean,value_harmo
meanAutoCorrHarmonicity,418,134,64,64,134.0,205.33333333333334,117.73925990803592
mean_MFCC_12th_coef,419,168,237,168,237.0,274.6666666666667,238.88345719317837
tqwt_medianValue_dec_35,420,101,130,101,130.0,217.0,150.19337267362687
tqwt_meanValue_dec_17,421,198,302,198,302.0,307.0,279.40608814040905
IMF_SNR_entropy,422,362,399,362,399.0,394.3333333333333,392.75421624640234
tqwt_stdValue_dec_27,423,666,700,423,666.0,596.3333333333334,566.6643678557267
tqwt_entropy_log_dec_21,424,591,616,424,591.0,543.6666666666666,528.7354902354812
Ed_1_coef,425,261,202,202,261.0,296.0,269.42428165468925
tqwt_maxValue_dec_18,426,235,148,148,235.0,269.6666666666667,224.55940749123462
det_LT_TKEO_mean_1_coef,427,479,412,412,427.0,439.3333333333333,437.52267287406653
tqwt_TKEO_mean_dec_27,428,179,172,172,179.0,259.6666666666667,218.38838555707784
tqwt_kurtosisValue_dec_25,429,157,214,157,214.0,266.6666666666667,224.32713727646725
tqwt_minValue_dec_35,430,281,225,225,281.0,312.0,290.45155891098807
VFER_mean,431,339,359,339,359.0,376.3333333333333,372.41389078877927
tqwt_entropy_shannon_dec_26,432,88,114,88,114.0,211.33333333333334,133.6280217069561
tqwt_TKEO_mean_dec_20,433,480,362,362,433.0,425.0,419.2735526965929
tqwt_TKEO_mean_dec_33,434,547,727,434,547.0,569.3333333333334,544.6804210039082
det_TKEO_std_5_coef,435,330,433,330,433.0,399.3333333333333,392.7409724196758
IMF_NSR_entropy,436,519,528,436,519.0,494.3333333333333,490.65308737289945
tqwt_kurtosisValue_dec_15,437,394,419,394,419.0,416.6666666666667,415.9136647788964
tqwt_entropy_shannon_dec_1,438,452,479,438,452.0,456.3333333333333,455.70701889838955
det_LT_TKEO_mean_4_coef,439,345,350,345,350.0,378.0,373.4316844935483
tqwt_TKEO_std_dec_22,440,611,670,440,611.0,573.6666666666666,555.3574988951809
tqwt_medianValue_dec_15,441,416,277,277,416.0,378.0,362.2519835093681
tqwt_entropy_shannon_dec_29,442,475,496,442,475.0,471.0,469.93691164923234
tqwt_TKEO_std_dec_23,443,497,515,443,497.0,485.0,483.001848720166
GNE_std,444,144,171,144,171.0,253.0,199.4064346684176
RPDE,445,211,328,211,328.0,328.0,298.9444870463304
app_TKEO_std_4_coef,446,476,416,416,446.0,446.0,444.652676521529
det_LT_entropy_log_1_coef,447,89,54,54,89.0,196.66666666666666,93.77458640708892
tqwt_entropy_shannon_dec_20,448,510,514,448,510.0,490.6666666666667,488.72252709143675
std_MFCC_8th_coef,449,314,349,314,349.0,370.6666666666667,362.44077559769494
tqwt_energy_dec_32,450,633,538,450,538.0,540.3333333333334,529.9663171581918
tqwt_TKEO_mean_dec_35,451,552,654,451,552.0,552.3333333333334,539.768225488831
det_LT_TKEO_std_1_coef,452,196,282,196,282.0,310.0,276.22962613515745
tqwt_meanValue_dec_14,453,451,472,451,453.0,458.6666666666667,458.4741272062518
tqwt_meanValue_dec_16,454,237,241,237,241.0,310.6666666666667,283.7837441496522
mean_delta_delta_log_energy,455,153,262,153,262.0,290.0,239.03346715535733
det_LT_entropy_log_2_coef,456,332,270,270,332.0,352.6666666666667,336.74817109338954
Ed_9_coef,457,477,439,439,457.0,457.6666666666667,457.1411717872981
tqwt_TKEO_std_dec_5,458,146,32,32,146.0,212.0,74.47361826534875
mean_Log_energy,459,450,480,450,459.0,463.0,462.66274674506514
tqwt_TKEO_std_dec_4,460,521,503,460,503.0,494.6666666666667,493.30986232493933
tqwt_skewnessValue_dec_3,461,92,154,92,154.0,235.66666666666666,153.59198582783327
Ed2_8_coef,462,559,676,462,559.0,565.6666666666666,552.2115189561117
tqwt_energy_dec_8,463,143,228,143,228.0,278.0,221.58538387391928
VFER_SNR_TKEO,464,76,14,14,76.0,184.66666666666666,34.58546609377919
mean_7th_delta_delta,465,231,344,231,344.0,346.6666666666667,319.6073105965592
tqwt_energy_dec_3,466,41,126,41,126.0,211.0,87.0254494625729
mean_11th_delta_delta,467,367,373,367,373.0,402.3333333333333,397.5042873043147
tqwt_stdValue_dec_25,468,492,465,465,468.0,475.0,474.6978080442647
tqwt_maxValue_dec_22,469,260,111,111,260.0,280.0,200.16868859651285
tqwt_maxValue_dec_6,470,253,72,72,253.0,265.0,150.23197594843418
det_LT_entropy_shannon_10_coef,471,98,91,91,98.0,220.0,128.66571367307554
tqwt_TKEO_std_dec_26,472,423,304,304,423.0,399.6666666666667,385.99189377109235
tqwt_kurtosisValue_dec_13,473,430,431,430,431.0,444.6666666666667,443.79145199912927
tqwt_maxValue_dec_33,474,420,335,335,420.0,409.6666666666667,401.29851374932304
det_LT_TKEO_mean_9_coef,475,149,98,98,149.0,240.66666666666666,157.72245256846588
tqwt_TKEO_std_dec_1,476,532,652,476,532.0,553.3333333333334,544.0418255627999
tqwt_kurtosisValue_dec_24,477,33,77,33,77.0,195.66666666666666,66.09898020395921
tqwt_medianValue_dec_11,478,389,290,290,389.0,385.6666666666667,369.86716113514353
Ed_8_coef,479,714,537,479,537.0,576.6666666666666,560.7015194673164
tqwt_entropy_log_dec_25,480,23,56,23,56.0,186.33333333333334,47.304631707814735
tqwt_entropy_shannon_dec_3,481,164,239,164,239.0,294.6666666666667,242.7054184063612
det_LT_entropy_shannon_8_coef,482,447,440,440,447.0,456.3333333333333,455.61182543166285
GNE_NSR_SEO,483,195,342,195,342.0,340.0,296.3672748350769
det_LT_entropy_shannon_4_coef,484,184,213,184,213.0,293.6666666666667,245.98765453445145
mean_MFCC_4th_coef,485,106,106,106,106.0,232.33333333333334,143.3364312267658
std_MFCC_0th_coef,486,296,346,296,346.0,376.0,360.30994044803924
tqwt_medianValue_dec_19,487,131,232,131,232.0,283.3333333333333,214.32673176523969
det_LT_entropy_shannon_9_coef,488,468,378,378,468.0,444.6666666666667,439.146380173361
tqwt_minValue_dec_4,489,579,713,489,579.0,593.6666666666666,579.7515917347539
tqwt_minValue_dec_19,490,124,36,36,124.0,216.66666666666666,79.19096350646842
tqwt_TKEO_std_dec_34,491,441,243,243,441.0,391.6666666666667,356.31739227596853
